56
-1	0	16	48	-3	129
-1	0	16	168	528	7
-1	0	576	168	32	6
-1	0	640	168	32	6
-1	0	703	168	33	6
-1	0	768	168	32	6
-1	0	800	135	36	1
-1	0	832	103	128	1
-1	0	1023	167	66	7
-1	0	1216	103	32	1
-1	0	1280	103	96	1
-1	0	1408	135	36	1
-1	0	1440	103	36	1
-1	0	1472	71	64	1
-1	0	1600	168	16	8
-1	0	1664	167	16	9
-1	0	1728	168	16	8
-1	0	1792	169	256	7
-1	0	1120	168	287	8
-2	3	544	213	588	-7
-2	3	1408	211	397	-5
-3	5	2048	47	-2	122
1	1	244	133	24	32
1	1	294	133	24	32
1	1	343	132	24	32
1	1	437	133	24	32
1	1	1444	69	24	32
1	1	1478	37	24	32
1	1	1288	68	24	32
1	1	1875	134	24	32
1	1	1958	133	24	32
-3	5	2047	47	-9	121
2	1	220	150	24	15
2	1	936	85	24	15
2	1	892	85	24	15
2	1	1270	149	24	15
3	1	332	118	15	14
3	1	429	118	15	14
3	1	572	123	15	14
3	1	634	104	15	14
3	1	763	90	15	14
3	1	894	57	15	14
3	1	1327	58	15	14
3	1	1184	61	15	14
3	1	1661	122	15	14
3	1	1851	123	15	14
4	1	552	52	17	25
4	1	707	46	17	25
4	1	1054	65	17	25
4	1	1562	65	17	25
4	1	1722	48	17	25
4	1	1869	50	17	25
5	1	620	138	16	13
6	1	804	102	24	32
6	1	1219	70	24	32
7	1	1369	133	16	32
